Postcode,Supply_reservoir,OS_grid_region,OS_grouping,Pb206_207,Pb208_207
FK198PN,Lochearnhead,NN,North/Above Central,1.118,2.395
FK198QG,Lochearnhead,NN,North/Above Central,1.134,2.39
FK188NL,Strathyre,NN,North/Above Central,1.118,2.381
FK103SG,Turret,NN,North/Above Central,1.159,2.455
FK125HE,Turret,NN,North/Above Central,1.089,2.363
FK28DS,Turret,NN,North/Above Central,1.108,2.33
FK54RH,Turret,NN,North/Above Central,1.158,2.445
FK94QQ,Turret,NN,North/Above Central,1.144,2.418
PH73QH,Turret,NN,North/Above Central,1.121,2.398
PH74AF,Turret,NN,North/Above Central,1.115,2.384
FK208RQ,Tyndrum,NN,North/Above Central,1.144,2.412
DD12NL,Clatto,NO,North/Above Central,1.128,2.371
DD21QB,Clatto,NO,North/Above Central,1.12,2.373
DD23FT,Clatto,NO,North/Above Central,1.1035,2.3365
DD24DG,Clatto,NO,North/Above Central,1.159,2.44
DD25AL,Clatto,NO,North/Above Central,1.152,2.429
DD40AP,Clatto,NO,North/Above Central,1.144,2.408
DD47HD,Clatto,NO,North/Above Central,1.076,2.368
DD47UN,Clatto,NO,North/Above Central,1.118,2.343
DD51ED,Clatto,NO,North/Above Central,1.178,2.471
DD53TL,Clatto,NO,North/Above Central,1.169,2.406
DD77PP,Clatto,NO,North/Above Central,1.168,2.435
DD77QU,Clatto,NO,North/Above Central,1.154,2.433
AB419WL,Craigie,NO,North/Above Central,1.115,2.328
AB544GD,Craigie,NO,North/Above Central,1.134,2.403
KY138AD,Glenfarg,NO,North/Above Central,1.1,2.35
KY138AY,Glenfarg,NO,North/Above Central,1.136,2.421
KY138QX,Glenfarg,NO,North/Above Central,1.142,2.424
KY139FW,Glenfarg,NO,North/Above Central,1.139,2.394
AB314FJ,Invercannie,NO,North/Above Central,1.132,2.374
AB314TE,Invercannie,NO,North/Above Central,1.169,2.451
AB315SB,Invercannie,NO,North/Above Central,1.118,2.374
AB315SS,Invercannie,NO,North/Above Central,1.128,2.385
AB345AA,Invercannie,NO,North/Above Central,1.15,2.424
AB345BY,Invercannie,NO,North/Above Central,1.131,2.406
AB345EJ,Invercannie,NO,North/Above Central,1.136,2.415
AB392DH,Invercannie,NO,North/Above Central,1.134,2.419
AB392ND,Invercannie,NO,North/Above Central,1.139,2.424
PH107JL,Kirkmichael,NO,North/Above Central,1.148,2.409
DD108HW,Lintrathen,NO,North/Above Central,1.114,2.347
DD113DE,Lintrathen,NO,North/Above Central,1.168,2.453
DD113RP,Lintrathen,NO,North/Above Central,1.129,2.389
DD82EE,Lintrathen,NO,North/Above Central,1.131,2.373
DD84DA,Lintrathen,NO,North/Above Central,1.115,2.396
DD97BW,Lintrathen,NO,North/Above Central,1.133,2.415
PH106HB,Lintrathen,NO,North/Above Central,1.122,2.381
PH139BP,Lintrathen,NO,North/Above Central,1.098,2.343
PH12BD,Perth,NO,North/Above Central,1.119,2.378
PH12UQ,Perth,NO,North/Above Central,1.101,2.353
PH12UR,Perth,NO,North/Above Central,1.119,2.383
PH80RG,Perth,NO,North/Above Central,1.151,2.423
AB392UD,Whitehillocks,NO,North/Above Central,1.122,2.37
AB393TD,Whitehillocks,NO,North/Above Central,1.143,2.426
AB393XH,Whitehillocks,NO,North/Above Central,1.121,2.381
DD82RX,Whitehillocks,NO,North/Above Central,1.102,2.369
DD83NJ,Whitehillocks,NO,North/Above Central,1.152,2.421
DD97SZ,Whitehillocks,NO,North/Above Central,1.169,2.536
DD97TD,Whitehillocks,NO,North/Above Central,1.124,2.371
DD97TF,Whitehillocks,NO,North/Above Central,1.159,2.445
DD97XX,Whitehillocks,NO,North/Above Central,1.134,2.373
PA318TR,Ardrishaig,NR,Central/South,1.116,2.385
PA286JP,Campbeltown,NR,Central/South,1.159,2.406
KA32TP,Amlaird Milngavie Gorbals Zone,NS,Central/South,1.125,2.414
EH477DP,Balmore,NS,Central/South,1.075,2.355
EH482LY,Balmore,NS,Central/South,1.146,2.293
EH483RG,Balmore,NS,Central/South,1.164,2.422
EH496ED,Balmore,NS,Central/South,1.16,2.458
EH496LR,Balmore,NS,Central/South,1.056,2.326
EH496RH,Balmore,NS,Central/South,1.176,2.447
G209LF,Balmore,NS,Central/South,1.093,2.37
G326PA,Balmore,NS,Central/South,1.142,2.441
G333BZ,Balmore,NS,Central/South,1.111,2.364
G639DL,Balmore,NS,Central/South,1.145,2.348
G642JS,Balmore,NS,Central/South,1.104,2.364
G643BS,Balmore,NS,Central/South,1.092,2.373
G664DH,Balmore,NS,Central/South,1.128,2.394
G665NN,Balmore,NS,Central/South,1.127,2.377
G665QS,Balmore,NS,Central/South,1.117,2.385
G668JA,Balmore,NS,Central/South,1.126,2.368
G668JX,Balmore,NS,Central/South,1.123,2.383
G696QH,Balmore,NS,Central/South,1.123,2.371
G697BE,Balmore,NS,Central/South,1.106,2.368
G697NA,Balmore,NS,Central/South,1.177,2.46
G661EU,Balmore Carron Valley,NS,Central/South,1.15,2.405
G662RT,Balmore Carron Valley,NS,Central/South,1.076,2.323
G663PG,Balmore Carron Valley,NS,Central/South,1.126,2.406
G689GG,Balmore Carron Valley,NS,Central/South,1.114,2.391
G444TH,Balmore Castlemilk,NS,Central/South,1.153,2.423
G333GD,Balmore,NS,Central/South,1.084,2.35
G333QB,Balmore,NS,Central/South,1.09,2.325
G847AP,Blairlinnans,NS,Central/South,1.106,2.367
G614SE,Burncrooks,NS,Central/South,1.154,2.387
G628LQ,Burncrooks,NS,Central/South,1.129,2.376
FK12BX,Carron Valley,NS,Central/South,1.098,2.363
FK13DS,Carron Valley,NS,Central/South,1.127,2.403
FK20XD,Carron Valley,NS,Central/South,1.166,2.408
FK27YH,Carron Valley,NS,Central/South,1.099,2.379
FK28BA,Carron Valley,NS,Central/South,1.142,2.416
FK29PR,Carron Valley,NS,Central/South,1.133,2.404
FK41TL,Carron Valley,NS,Central/South,1.143,2.281
FK53NQ,Carron Valley,NS,Central/South,1.077,2.324
FK66AN,Carron Valley,NS,Central/South,1.113,2.41
FK66BH,Carron Valley,NS,Central/South,1.167,2.407
G744JZ,Daer,NS,Central/South,1.163,2.455
G758GU,Daer,NS,Central/South,1.161,2.402
G759FJ,Daer,NS,Central/South,1.123,2.381
KA290EJ,Greenock,NS,Central/South,1.136,2.278
KA308TD,Greenock,NS,Central/South,1.151,2.406
G115BL,Milngavie,NS,Central/South,1.093,2.344
G117ES,Milngavie,NS,Central/South,1.134,2.409
G117HD,Milngavie,NS,Central/South,1.1165,2.389
G117QQ,Milngavie,NS,Central/South,1.08,2.336
G120NN,Milngavie,NS,Central/South,1.12,2.374
G132TA,Milngavie,NS,Central/South,1.104,2.383
G156JZ,Milngavie,NS,Central/South,1.168,2.441
G156XB,Milngavie,NS,Central/South,1.098,2.353
G157JB,Milngavie,NS,Central/South,1.097,2.36
G200NH,Milngavie,NS,Central/South,1.134,2.393
G327AY,Milngavie,NS,Central/South,1.113,2.374
G328ES,Milngavie,NS,Central/South,1.16,2.432
G328LH,Milngavie,NS,Central/South,1.114,2.389
G402LR,Milngavie,NS,Central/South,1.101,2.38
G404SW,Milngavie,NS,Central/South,1.102,2.35
G413BQ,Milngavie,NS,Central/South,1.11,2.384
G413EY,Milngavie,NS,Central/South,1.087,2.347
G413SP,Milngavie,NS,Central/South,1.098,2.373
G414HD,Milngavie,NS,Central/South,1.062,2.31
G415BZ,Milngavie,NS,Central/South,1.155,2.423
G420BH,Milngavie,NS,Central/South,1.106,2.36
G420HU,Milngavie,NS,Central/South,1.09,2.327
G432AR,Milngavie,NS,Central/South,1.088,2.336
G432SR,Milngavie,NS,Central/South,1.151,2.366
G444BS,Milngavie,NS,Central/South,1.079,2.329
G444TT,Milngavie,NS,Central/South,1.159,2.423
G511AP,Milngavie,NS,Central/South,1.13,2.394
G513EF,Milngavie,NS,Central/South,1.149,2.422
G521HA,Milngavie,NS,Central/South,1.114,2.378
G536PX,Milngavie,NS,Central/South,1.179,2.456
G611BZ,Milngavie,NS,Central/South,1.137,2.423
G611RX,Milngavie,NS,Central/South,1.133,2.361
G612BN,Milngavie,NS,Central/South,1.1,2.336
G117EG,Milngavie,NS,Central/South,1.128,2.408
EH470PZ,Pateshill,NS,Central/South,1.079,2.348
FK30JN,Turret/Balmore/Carron Valley,NS,Central/South,1.117,2.391
EH459NA,Bonnycraig,NT,Central/South,1.111,2.33
EH459NB,Bonnycraig,NT,Central/South,1.103,2.375
EH459ND,Bonnycraig,NT,Central/South,1.102,2.367
EH320RU,Castle Moffat,NT,Central/South,1.107,2.385
EH332DB,Castle Moffat,NT,Central/South,1.154,2.277
EH332EN,Castle Moffat,NT,Central/South,1.142,2.383
EH413BE,Castle Moffat,NT,Central/South,1.144,2.396
EH414AE,Castle Moffat,NT,Central/South,1.104,2.364
EH421GN,Castle Moffat,NT,Central/South,1.091,2.36
EH104JS,Glencorse,NT,Central/South,1.165,2.455
EH105BN,Glencorse,NT,Central/South,1.131,2.412
EH105EZ,Glencorse,NT,Central/South,1.168,2.463
EH105HA,Glencorse,NT,Central/South,1.076,2.348
EH105QT,Glencorse,NT,Central/South,1.133,2.376
EH105RA,Glencorse,NT,Central/South,1.174,2.083
EH11 1QR,Glencorse,NT,Central/South,1.121,2.404
EH112QP,Glencorse,NT,Central/South,1.155,2.444
EH113UJ,Glencorse,NT,Central/South,1.144,2.418
EH125QF,Glencorse,NT,Central/South,1.134,2.408
EH125TN,Glencorse,NT,Central/South,1.144,2.422
EH126AQ,Glencorse,NT,Central/South,1.165,2.458
EH128BZ,Glencorse,NT,Central/South,1.125,2.403
EH151JT,Glencorse,NT,Central/South,1.085,2.373
EH166PE,Glencorse,NT,Central/South,1.094,2.373
EH178HU,Glencorse,NT,Central/South,1.132,2.405
EH209JE,Glencorse,NT,Central/South,1.168,2.441
EH209JH,Glencorse,NT,Central/South,1.079,2.342
EH3 9JB,Glencorse,NT,Central/South,1.135,2.404
EH41QD,Glencorse,NT,Central/South,1.152,2.419
EH42AN,Glencorse,NT,Central/South,1.125,2.406
EH42HA,Glencorse,NT,Central/South,1.125,2.304
EH43JZ,Glencorse,NT,Central/South,1.084,2.351
EH43PX,Glencorse,NT,Central/South,1.101,2.378
EH47DJ,Glencorse,NT,Central/South,1.125,2.417
EH53BY,Glencorse,NT,Central/South,1.129,2.394
EH53NJ,Glencorse,NT,Central/South,1.072,2.343
EH67PL,Glencorse,NT,Central/South,1.166,2.464
EH74AX,Glencorse,NT,Central/South,1.123,2.396
EH76JG,Glencorse,NT,Central/South,1.098,2.353
EH93EP,Glencorse,NT,Central/South,1.135,2.407
EH36LL,Glencorse?,NT,Central/South,1.129,2.404
EH345EJ,Hopes,NT,Central/South,1.08,2.362
EH139EW,Marchbank,NT,Central/South,1.074,2.34
EH143BY,Marchbank,NT,Central/South,1.152,2.404
EH145AE,Marchbank,NT,Central/South,1.105,2.372
EH145DZ,Marchbank,NT,Central/South,1.146,2.409
EH147EZ,Marchbank,NT,Central/South,1.061,2.317
EH51NA,Marchbank,NT,Central/South,1.109,2.396
EH546JT,Marchbank,NT,Central/South,1.153,2.438
EH64QF,Marchbank,NT,Central/South,1.132,2.403
DG109DP,Moffat,NT,Central/South,1.14,2.406
DG109HD,Moffat,NT,Central/South,1.123,2.362
DG109JJ,Moffat,NT,Central/South,1.168,2.443
DG109JX,Moffat,NT,Central/South,1.123,2.41
TD113BA,Rawburn,NT,Central/South,1.083,2.315
TD113NN,Rawburn,NT,Central/South,1.085,2.386
TD145EY,Rawburn,NT,Central/South,1.153,2.423
EH139LB,Roseberry,NT,Central/South,1.171,2.436
EH181DA,Roseberry,NT,Central/South,1.156,2.339
EH218DQ,Roseberry,NT,Central/South,1.139,2.408
EH260LJ,Roseberry,NT,Central/South,1.147,2.39
EH268JU,Roseberry,NT,Central/South,1.159,2.394
EH269HT,Roseberry,NT,Central/South,1.135,2.388
EH106EY,Rosebery,NT,Central/South,1.147,2.436
EH217TJ,Rosebery,NT,Central/South,1.118,2.387
EH218DY,Rosebery,NT,Central/South,1.097,2.381
EH320PP,Rosebery Castle Moffat,NT,Central/South,1.18,2.427
EH320ST,Rosebery Castle Moffat,NT,Central/South,1.161,2.401
EH329AT,Rosebery Castle Moffat,NT,Central/South,1.106,1.365
EH329DJ,Rosebery Castle Moffat,NT,Central/South,1.099,2.38
EH355LJ,Rosebery Hopes,NT,Central/South,1.124,2.396
EH355LX,Rosebery Hopes,NT,Central/South,1.159,2.42
DG90BG,Auchneel,NX,Central/South,1.114,2.393
DG97DR,Auchneel,NX,Central/South,1.152,2.431
DG97PA,Auchneel,NX,Central/South,1.063,2.341
DG97PQ,Auchneel,NX,Central/South,1.157,2.414
DG97QJ,Auchneel,NX,Central/South,1.119,2.4
DG97RZ,Auchneel,NX,Central/South,1.165,2.45
DG98BD,Auchneel,NX,Central/South,1.104,2.381
DG98DX,Auchneel,NX,Central/South,1.115,2.373
KA74UH,Bradan,NX,Central/South,1.129,2.382
KA80PX,Bradan,NX,Central/South,1.139,2.416
KA89RH,Bradan,NX,Central/South,1.113,2.365
KA106XE,Bradan Milngavie Gorbals Zone,NX,Central/South,1.123,2.393
KA129DN,Bradan Milngavie Gorbals Zone,NX,Central/South,1.092,2.33
KA13 6UD,Bradan Milngavie Gorbals Zone,NX,Central/South,1.096,2.349
KA137LH,Bradan Milngavie Gorbals Zone,NX,Central/South,1.122,2.378
DG71TA,Glengap,NX,Central/South,1.101,2.375
DG72JB,Glengap,NX,Central/South,1.166,2.457
DG11SW,Kettleton,NX,Central/South,1.126,2.939
DG11TE,Kettleton,NX,Central/South,1.105,2.333
DG14LP,Kettleton,NX,Central/South,1.14,2.411
DG14RA,Kettleton,NX,Central/South,1.134,2.411
DG20RU,Kettleton,NX,Central/South,1.143,2.423
DG34HT,Kettleton,NX,Central/South,1.13,2.395
DG35HJ,Kettleton,NX,Central/South,1.151,2.426
DG35HZ,Kettleton,NX,Central/South,1.129,2.411
DG20JN,Killylour,NX,Central/South,1.138,2.409
DG29SJ,Killylour,NX,Central/South,1.103,2.327
DG29SQ,Killylour,NX,Central/South,1.117,2.338
DG29TX,Killylour,NX,Central/South,1.142,2.361
DG54QS,Killylour,NX,Central/South,1.097,2.332
DG54QW,Killylour,NX,Central/South,1.139,2.408
DG73HQ,Killylour,NX,Central/South,1.101,2.375
DG73LJ,Killylour,NX,Central/South,1.12,2.375
DG13HQ,Larchfield,NX,Central/South,1.138,2.429
DG14EA,Larchfield,NX,Central/South,1.144,2.424
DG14EE,Larchfield,NX,Central/South,1.127,2.399
DG14PA,Larchfield,NX,Central/South,1.136,2.404
DG71DQ,Lochinvar,NX,Central/South,1.141,2.426
KA269EY,Penwhapple,NX,Central/South,1.079,2.344
KA269HG,Penwhapple,NX,Central/South,1.157,2.42
DG86BP,Penwhirn,NX,Central/South,1.135,2.406
DG86EF,Penwhirn,NX,Central/South,1.122,2.402
DG86ES,Penwhirn,NX,Central/South,1.115,2.385
DG86JZ,Penwhirn,NX,Central/South,1.118,2.348
DG86UA,Penwhirn,NX,Central/South,1.107,2.373
DG87AL,Penwhirn,NX,Central/South,1.13,2.405
DG87BD,Penwhirn,NX,Central/South,1.108,2.372
DG87DA,Penwhirn,NX,Central/South,1.15,2.434
DG88LG,Penwhirn,NX,Central/South,1.126,2.399
DG88LH,Penwhirn,NX,Central/South,1.116,2.375
DG89AB,Penwhirn,NX,Central/South,1.145,2.43
DG89JG,Penwhirn,NX,Central/South,1.115,2.375
DG89RD,Penwhirn,NX,Central/South,1.159,2.422
DG97SE,Penwhirn,NX,Central/South,1.156,2.419
DG97SF,Penwhirn,NX,Central/South,1.087,2.327
DG98HU,Penwhirn,NX,Central/South,1.145,2.418
DG98SA,Penwhirn,NX,Central/South,1.16,2.437
DG99AP,Penwhirn,NX,Central/South,1.111,2.378
DG99BP,Penwhirn,NX,Central/South,1.145,2.388
DG99JH,Penwhirn,NX,Central/South,1.087,2.328
DG99QN,Penwhirn,NX,Central/South,1.148,2.427
DG64DR,Ringford & Glengap,NX,Central/South,1.142,2.414
DG64EH,Ringford & Glengap,NX,Central/South,1.147,2.419
DG64EW,Ringford & Glengap,NX,Central/South,1.149,2.423
DG64LE,Ringford & Glengap,NX,Central/South,1.153,2.423
DG11BT,Terregles,NX,Central/South,1.173,2.45
DG13BP,Terregles,NX,Central/South,1.143,2.434
DG13EJ,Terregles,NX,Central/South,1.142,2.424
DG29HG,Terregles,NX,Central/South,1.142,2.363
DG111NF,Black Esk,NY,Central/South,1.155,2.437
DG126HB,Black Esk,NY,Central/South,1.158,2.43
DG13RZ,Black Esk,NY,Central/South,1.122,2.3
DG13SQ,Black Esk,NY,Central/South,1.144,2.416
DG165HY,Black Esk,NY,Central/South,1.155,2.434
DG165HX,Black Esk Winterhope,NY,Central/South,1.13,2.382
DG165JW,Black Esk Winterhope,NY,Central/South,1.094,2.375
DG165UP,Black Esk Winterhope,NY,Central/South,1.149,2.386
DG165JW,Black Esk Winterhope,NY,Central/South,1.094,2.375
