Pb_material,Postcode,Supply_reservoir,OS_grid_region,OS_grouping,Pb206_207,Pb208_207
,EH125QF,Glencorse,NT,Central/South,1.134,2.408
,EH125TN,Glencorse,NT,Central/South,1.144,2.422
,EH126AQ,Glencorse,NT,Central/South,1.165,2.458
,EH128BZ,Glencorse,NT,Central/South,1.125,2.403
,EH151JT,Glencorse,NT,Central/South,1.085,2.373
,EH166PE,Glencorse,NT,Central/South,1.094,2.373
,EH178HU,Glencorse,NT,Central/South,1.132,2.405
,EH209JE,Glencorse,NT,Central/South,1.168,2.441
,EH209JH,Glencorse,NT,Central/South,1.079,2.342
,EH3 9JB,Glencorse,NT,Central/South,1.135,2.404
,EH41QD,Glencorse,NT,Central/South,1.152,2.419
,EH42AN,Glencorse,NT,Central/South,1.125,2.406
,EH42HA,Glencorse,NT,Central/South,1.125,2.304
,EH43JZ,Glencorse,NT,Central/South,1.084,2.351
,EH43PX,Glencorse,NT,Central/South,1.101,2.378
,EH47DJ,Glencorse,NT,Central/South,1.125,2.417
,EH53BY,Glencorse,NT,Central/South,1.129,2.394
,EH53NJ,Glencorse,NT,Central/South,1.072,2.343
,EH67PL,Glencorse,NT,Central/South,1.166,2.464
,EH74AX,Glencorse,NT,Central/South,1.123,2.396
,EH76JG,Glencorse,NT,Central/South,1.098,2.353
,EH93EP,Glencorse,NT,Central/South,1.135,2.407
,EH36LL,Glencorse?,NT,Central/South,1.129,2.404
,EH345EJ,Hopes,NT,Central/South,1.08,2.362
,EH139EW,Marchbank,NT,Central/South,1.074,2.34
,EH143BY,Marchbank,NT,Central/South,1.152,2.404
,EH145AE,Marchbank,NT,Central/South,1.105,2.372
,EH145DZ,Marchbank,NT,Central/South,1.146,2.409
,EH147EZ,Marchbank,NT,Central/South,1.061,2.317
,EH51NA,Marchbank,NT,Central/South,1.109,2.396
,EH546JT,Marchbank,NT,Central/South,1.153,2.438
,EH64QF,Marchbank,NT,Central/South,1.132,2.403
,DG109DP,Moffat,NT,Central/South,1.14,2.406
,DG109HD,Moffat,NT,Central/South,1.123,2.362
,DG109JJ,Moffat,NT,Central/South,1.168,2.443
,DG109JX,Moffat,NT,Central/South,1.123,2.41
,TD113BA,Rawburn,NT,Central/South,1.083,2.315
,TD113NN,Rawburn,NT,Central/South,1.085,2.386
,TD145EY,Rawburn,NT,Central/South,1.153,2.423
,EH139LB,Roseberry,NT,Central/South,1.171,2.436
,EH181DA,Roseberry,NT,Central/South,1.156,2.339
,EH218DQ,Roseberry,NT,Central/South,1.139,2.408
,EH260LJ,Roseberry,NT,Central/South,1.147,2.39
,EH268JU,Roseberry,NT,Central/South,1.159,2.394
,EH269HT,Roseberry,NT,Central/South,1.135,2.388
,EH106EY,Rosebery,NT,Central/South,1.147,2.436
,EH217TJ,Rosebery,NT,Central/South,1.118,2.387
,EH218DY,Rosebery,NT,Central/South,1.097,2.381
,EH320PP,Rosebery Castle Moffat,NT,Central/South,1.18,2.427
,EH320ST,Rosebery Castle Moffat,NT,Central/South,1.161,2.401
,EH329AT,Rosebery Castle Moffat,NT,Central/South,1.106,1.365
,EH329DJ,Rosebery Castle Moffat,NT,Central/South,1.099,2.38
,EH355LJ,Rosebery Hopes,NT,Central/South,1.124,2.396
,EH355LX,Rosebery Hopes,NT,Central/South,1.159,2.42
